Sequence,Ciphertext_Entropy,IV_Length,IV_Entropy,Exec_Time,Secure
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.653,16,2.918,1.862,0
Cipher.getInstance -> Cipher.doFinal,5.977,0,0.592,0.418,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.286,16,1.867,0.924,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.12,0,0.0,1.141,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.9,16,7.999,2.243,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.737,16,7.816,0.781,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.526,16,7.519,1.591,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.833,16,7.934,1.105,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.737,16,1.946,1.596,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.884,12,7.821,1.437,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.892,16,7.814,1.8,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.176,16,3.501,0.848,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.936,12,7.801,1.271,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.96,0,0.0,0.707,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.503,16,1.424,1.1,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.934,12,7.887,1.337,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.922,16,7.834,1.459,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.158,16,1.445,0.452,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.909,12,7.863,1.229,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.706,16,7.561,1.467,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.946,16,7.901,2.365,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.131,16,3.538,1.721,0
Cipher.getInstance -> Cipher.doFinal,6.433,16,1.697,0.339,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.951,16,7.9,1.265,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.908,0,0.0,0.94,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.525,16,7.876,1.294,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.975,0,0.0,0.783,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.843,16,7.805,1.879,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.618,16,7.546,1.451,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.874,12,7.993,0.925,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.944,12,7.851,0.791,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.058,0,0.0,0.798,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.422,16,2.87,0.715,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.902,16,7.964,0.867,1
Cipher.getInstance -> Cipher.doFinal,6.573,0,2.674,0.387,0
Cipher.getInstance -> Cipher.doFinal,6.741,0,0.74,0.356,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.98,12,7.983,0.536,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.931,16,7.918,2.298,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.577,16,7.514,0.67,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.976,12,7.939,0.842,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.821,0,0.0,0.381,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.911,16,7.88,1.327,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.918,16,7.959,1.208,1
Cipher.getInstance -> Cipher.doFinal,6.971,0,0.758,0.152,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.996,0,0.0,0.56,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.03,0,0.0,0.928,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.859,16,7.958,1.363,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.92,12,7.832,0.839,1
Cipher.getInstance -> Cipher.doFinal,5.057,16,7.321,0.281,0
Cipher.getInstance -> Cipher.doFinal,7.833,0,2.339,0.373,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.537,16,4.481,1.012,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.941,12,7.921,0.766,1
Cipher.getInstance -> Cipher.doFinal,6.303,0,2.782,0.391,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.622,16,7.546,1.675,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.96,16,7.882,0.906,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.896,16,7.918,1.291,1
Cipher.getInstance -> Cipher.doFinal,7.104,16,7.353,0.49,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.87,16,7.833,1.42,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.771,16,7.501,1.922,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.949,16,7.826,0.88,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.719,16,7.949,1.242,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.876,12,7.806,1.28,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.984,16,7.868,1.657,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.604,0,0.0,1.062,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.978,12,7.956,1.421,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.906,12,7.858,2.269,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.984,12,7.887,1.889,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.856,12,7.956,0.508,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.888,16,7.89,2.408,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.941,0,0.0,0.599,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.215,0,0.0,0.491,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.905,16,7.81,0.929,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.513,16,7.683,0.734,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.916,16,7.881,0.795,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.805,16,7.99,1.938,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.528,16,3.25,0.421,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.104,0,0.0,1.402,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.51,0,0.0,1.491,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.946,12,7.828,2.084,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.857,12,7.92,1.102,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.966,12,7.887,1.238,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.974,16,7.88,2.127,1
Cipher.getInstance -> Cipher.doFinal,6.946,16,5.411,0.204,0
Cipher.getInstance -> Cipher.doFinal,6.508,16,6.215,0.186,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.032,16,3.788,1.443,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.413,16,2.68,1.139,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.909,12,7.897,0.794,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.852,12,7.875,2.448,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.951,16,7.918,1.976,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.904,16,7.968,2.275,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.625,16,7.804,0.934,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.903,12,7.87,1.456,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.742,0,0.0,0.574,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.904,16,7.879,0.848,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.521,16,3.423,1.498,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.967,16,7.935,2.238,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.014,0,0.0,1.005,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.671,16,2.28,1.466,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.953,16,7.866,0.826,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.965,12,7.89,0.663,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.672,16,7.86,0.924,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.312,0,0.0,1.181,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.688,16,7.556,0.896,0
Cipher.getInstance -> Cipher.doFinal,7.488,16,2.645,0.416,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.282,16,3.062,1.771,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.877,16,7.882,1.965,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.859,16,7.562,1.575,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.545,16,7.903,1.884,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.915,12,7.925,1.279,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.998,16,7.861,1.339,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.922,12,7.965,0.866,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.89,12,7.958,2.077,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.267,0,0.0,0.752,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.549,16,7.983,0.523,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.946,12,7.906,0.872,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.912,12,7.881,2.055,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.802,0,0.0,1.377,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.715,16,7.659,0.68,0
Cipher.getInstance -> Cipher.doFinal,7.243,16,6.559,0.418,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.165,16,3.285,0.987,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.137,16,3.321,1.719,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.875,12,7.902,1.407,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.443,16,3.571,0.498,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.614,0,0.0,0.955,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.287,0,0.0,1.425,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.981,12,7.997,2.288,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.815,16,7.658,1.246,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.852,12,7.955,1.671,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.938,12,7.98,1.515,1
Cipher.getInstance -> Cipher.doFinal,7.648,16,1.368,0.366,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.932,12,7.96,1.118,1
Cipher.getInstance -> Cipher.doFinal,5.283,0,7.16,0.182,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.877,16,7.8,1.936,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.867,16,7.96,2.411,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.979,12,7.889,1.16,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.561,16,2.652,1.181,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.976,16,7.872,2.108,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.886,16,7.669,1.017,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.857,12,7.978,0.674,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.934,0,0.0,1.401,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.077,16,2.545,1.916,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.936,12,7.979,2.427,1
Cipher.getInstance -> Cipher.doFinal,7.496,0,1.934,0.159,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.709,16,7.538,1.549,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.648,0,0.0,0.786,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.551,16,7.969,0.86,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.964,12,7.843,1.897,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.937,16,7.986,0.698,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.967,12,7.814,1.24,1
Cipher.getInstance -> Cipher.doFinal,6.256,0,5.603,0.23,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.869,0,0.0,0.786,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.952,16,7.977,0.831,1
Cipher.getInstance -> Cipher.doFinal,6.894,0,5.87,0.37,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.901,16,7.974,0.589,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.926,12,7.862,1.179,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.599,16,7.653,1.398,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.953,16,7.913,2.021,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.923,16,7.961,1.658,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.3,16,2.173,0.883,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.969,12,7.856,0.911,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.872,12,7.977,0.949,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.529,16,7.733,1.701,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.746,0,0.0,1.23,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.56,16,4.116,0.88,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.935,12,7.938,2.27,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.513,0,0.0,1.273,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.861,16,7.575,0.622,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.935,12,7.964,0.947,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.958,12,7.929,2.378,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.866,16,7.953,1.902,1
Cipher.getInstance -> Cipher.doFinal,7.327,16,6.255,0.324,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.258,0,0.0,1.209,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.963,16,7.986,0.768,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.814,16,7.756,1.026,0
Cipher.getInstance -> Cipher.doFinal,6.679,0,4.185,0.231,0
Cipher.getInstance -> Cipher.doFinal,6.57,16,7.596,0.472,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.891,16,7.815,1.131,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.539,16,7.862,0.606,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.886,0,0.0,1.491,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.627,0,0.0,0.598,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.886,12,7.952,1.821,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.939,12,7.854,1.216,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.461,0,0.0,0.816,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.19,0,0.0,1.048,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.814,16,7.857,1.323,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.896,12,7.922,1.969,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.922,16,7.803,0.788,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.995,12,7.934,0.959,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.776,0,0.0,0.77,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.975,12,7.88,1.655,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.762,0,0.0,0.519,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.902,12,7.93,1.681,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.921,16,7.949,0.63,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.947,16,7.949,1.604,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.764,16,7.865,0.893,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.976,16,7.942,1.046,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.571,0,0.0,0.983,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.985,16,7.835,1.652,1
Cipher.getInstance -> Cipher.doFinal,6.159,0,4.598,0.371,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.399,0,0.0,0.308,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.942,12,7.809,2.274,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.223,16,3.239,1.818,0
Cipher.getInstance -> Cipher.doFinal,5.536,0,2.547,0.135,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.268,16,3.652,1.062,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.889,0,0.0,1.094,0
Cipher.getInstance -> Cipher.doFinal,6.887,16,3.791,0.477,0
Cipher.getInstance -> Cipher.doFinal,6.92,0,6.56,0.391,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.962,12,7.965,0.531,1
Cipher.getInstance -> Cipher.doFinal,6.317,0,4.858,0.104,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.882,16,7.943,0.974,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.923,12,7.978,2.214,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.917,12,7.851,1.489,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.78,16,7.984,0.567,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.969,12,7.986,2.198,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.911,12,7.953,0.506,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.983,12,7.943,0.841,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.87,16,7.99,1.382,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.951,12,7.914,0.934,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.939,12,7.82,1.222,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.952,12,7.966,1.046,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.935,12,7.843,1.323,1
Cipher.getInstance -> Cipher.doFinal,6.778,0,1.578,0.397,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.789,0,0.0,1.343,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.811,16,7.756,1.295,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.64,16,2.538,0.797,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.884,16,7.837,1.298,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.936,16,7.852,0.592,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.535,16,7.846,0.638,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.874,12,7.957,1.458,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.47,16,1.56,1.113,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.912,16,7.976,1.762,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.043,16,1.868,1.088,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.398,0,0.0,0.58,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.865,16,7.833,0.926,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.882,16,7.87,0.956,1
Cipher.getInstance -> Cipher.doFinal,5.669,0,6.127,0.144,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.384,16,2.284,1.208,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.924,16,7.901,1.399,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.718,16,4.357,1.219,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.568,16,7.532,0.743,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.929,16,7.976,0.954,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.88,16,7.995,1.365,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.89,12,7.884,2.312,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.903,16,7.856,0.781,1
Cipher.getInstance -> Cipher.doFinal,6.282,0,2.764,0.167,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.558,0,0.0,0.744,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.871,16,7.933,0.939,1
Cipher.getInstance -> Cipher.doFinal,6.355,0,5.261,0.493,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.682,16,7.583,0.957,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.949,12,7.992,1.195,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.857,16,7.928,2.455,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.91,16,7.922,0.924,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.88,12,7.955,0.63,1
Cipher.getInstance -> Cipher.doFinal,5.724,16,3.936,0.252,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.882,16,7.925,0.559,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.907,16,7.981,1.138,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.977,12,7.864,1.858,1
Cipher.getInstance -> Cipher.doFinal,5.113,16,1.697,0.219,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.858,16,7.961,1.357,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.826,16,7.506,0.906,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.861,12,7.819,2.373,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.991,16,7.949,0.591,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.794,16,3.995,0.442,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.933,12,7.816,1.291,1
